authentic   adj.真正的,原作的
authenticate   v.证明(某物)为真
authoritative   adj.权威性的,命令式的
authorize   v.授权,批准
authorization   n.授权,委任状
autocrat   n.独裁者
autocracy   n.独裁政体
automatism   n.无意识行动(如梦游)
autonomous   adj.自治的,独立的
autonomy   n.自治,自主
auxiliary   adj.辅助的,协助的
avalanche   n.雪崩
avant-garde   n.先锋派(艺术流派之一)
avarice   n.贪财,贪婪
avaricious   a.贪婪的,贪心的
avenge   v.为…复仇,为…报仇
aver   v.极力声明,断言
averse   adj.厌恶的,反对的
aversion   n.嫌恶,憎恨
avert   v.避免,避开
aviary   n.大鸟笼,鸟舍
avid   adj.渴望的,热心的
avocation   n.副业,嗜好
avow   v.承认,公开宣称
avowal   n.公开承认
avuncular   adj.伯(叔)父的
awe   v.敬畏
awe-inspiring   adj.令人敬畏的
awl   n.[钻皮革的]尖钻
awry   adj.扭曲的,走样的.
axiom   n.公理,定理
axiomatic   adj.不需证明的,不言自明的
axis   n.轴(常为虚构之线,如地球轴)
axle   n.轮轴(连接二个车轮的轴)
babble   v.说蠢话,牙牙学语
bacchanal   n.(行为放纵的)狂欢会
bacchanalian   adj.狂欢的,行为放纵的
bacon   n.熏猪肉,培根肉
bacteria   n.细菌
badge   n.徽章(如校徽等)
badger   n.獾
badger   v.一再烦扰,一再要求
baffle   v.使困惑,难倒
baffling   adj.令人困惑的
bait   n.诱饵,v.逗弄
bald   adj.秃头的
bale   n.大包裹,灾祸,不幸
baleful   adj.邪恶的,恶意的
ballad   n.歌谣,小曲
ballast   n.(船等)压舱物
ballerina   n.芭蕾舞女演员
ballroom   n.大午厅
balm   n.香油,药膏
balmy   adj.(气候)温和的,芳香的
banal   adj.陈腐的
banality   n.陈腐,平庸
bane   n.祸根
baneful   adj.有害的,致祸的
banister   n.(楼梯的)栏杆
bankrupt   adj.破产的
bankruptcy   n.破产
banner   n.旗帜,横幅标语旗
barb   n.(鱼钩的)倒钩
barbed   adj.有倒钩的,讽剌的
barbarous   adj.野蛮的,残暴的
barbarity   n.残忍,残暴
barbecue   n.烤肉架,烤肉
barge   n.平底货船,驳船
bark   v.狗吠,n树皮
barn   n.谷仓
barometer   n.气压计,晴雨表
baron   n.大财主,大老板
baroque   n.adj.(艺术、建筑等)高度装饰的，过份雕琢的
barren   adj.不孕的,贫瘠的
barricade   v.n.设栅阻挡,栅栏
barrier   n.路障,障碍
barter   v.以物易物,物物交换
bashful   adj.害羞的,羞怯的
bask   v.晒太阳,取暖
bassoon   n.低音管,巴松
baste   v.倒脂油于(烤肉上,以防烤干)
baton   n.指挥棒,警棍
bauble   n.廉价珠宝
bauxite   n.铝土岩(产铝的矿土、石)
bawl   v.大叫,大喊
bazaar   n.集市,商店集中区
beacon   n.信号灯,闪光灯
beam   n.(房屋等)大梁,光线
beat   v.心跳,搅拌
beater   n.搅拌器
beatific   adj．祝福的，有福的
beatitude   n．至福，十分幸福
beaver   n．海狸
bedraggled   adj．（衣服、头发等）弄湿的，凌乱不堪的
beet   n．甜菜
beget   v．产生，引起
begrudge   v．吝啬，勉强给
beguile   v．欺骗，诱骗
beguiling   adj．欺骗的，迷人的
behold   v．目睹，看见
beholder   h．目睹者
belabour   v．（过份冗长地）做或说，痛打
beleaguer   v．围攻
belie   v．掩饰，证明为假
belittle   v．轻视，贬抑
bellicose   adj．好战的，好斗的
belligerent   adj．（国家等）交战的，挑斗的
belongings   n．所有物，财产
benediction   n．祝福，祈祷
benefactor   n．行善者，捐助者
beneficial   adj．有益的，有用的
beneficiary   n．受惠者，（遗产的）受益人
benevolent   adj．慈善的，好意的
benevolence   n．善心，仁心
benign   adj．慈祥的
benignity   n．温和，仁慈
bequeath   v．遗赠（留）
bequest   n．遗产，遗赠物
berate   v．猛烈责骂
bereave   v．丧亲，夺去
bereftof   丧失，失去
berserk   adj．狂怒的，疯狂的
beseech   v．祈求，恳求
besiege   v．围攻，困扰
bespeak   v．显示，表示
bestow   v．给予，赐赠
betray   v．背叛，暴露
beverage   n.（水，酒等之外的）饮料
bevy   n．一群（少女或鸟）
bibliography   n.文献学，
bibulous   adj．高度吸收的，嗜酒的
bifurcate   v．分为二支，分叉
bigot   n．（宗教，政治等的）盲信者，顽固者
bigotry   n．顽固，偏狭
bile   n．胆汁
bilious   adj．多胆汁的，坏脾气的
bilingual   adj．（能说）两种语言的
birch   n．桦树，赤杨
biosphere   n．生命层，生物圈
bizarre   adj．奇异的，古怪的
blackmail   n．v．敲诈，勒索
blade   n．刀锋，刀口
blanch   v．使变白，（脸色）变苍的
bland   adj．（人）情绪平稳的，（食物）无味的
blandishments   n．甘言劝诱
blare   v．高声鸣叫
blasphemy   n．亵渎，渎神
blasphemous   adj．对神不敬的
blatant   adj．喧哗的，无耻的
bleachers   n．（球场的）露天座位
blemish   v．损害，玷污n．瑕疵，缺点
bless   v．祝福，颂扬
blinds   n．百页窗
blight   n．植物枯萎病v．使…枯萎
blithe   adj．快乐的，无忧无虑的
blizzard   n．暴风雪
bloated   adj．肿胀的
blockade   n．v．封锁
blotch   n.（皮肤上的）红斑点，（墨水等）斑点
blowhard   n．自吹自擂者
blunder   v．犯大错n．愚蠢之举
blur   n．模糊不清的事物v．使…模糊
bode   v．预示
bodyguard   n．保镖，侍卫
boggle   v．畏缩不前，不敢想像
bogus   adj．假装的，假的
boisterous   adj．喧闹的，欢闹的
bolster   n．枕垫v．支持，鼓励
bolt   n．螺栓，门栓v．急逃，脱离
bolted   adj．脱离的
bombast   n．高调，夸大之辞
bombastic   adj．唱高调的
bonnet   n．圆帽，扁平软帽
boor   n．举止粗野的人，乡下人
boorish   adj．粗野的
boost   v．往上推，增加，提高
booster   n．支持者
bore   v．n．钻孔，令人厌烦的人
botany   n．植物学
botanical   adj．植物（学）的
boudoir   n（女人的）化妆室，闺房
boulder   n．巨石
bounteous   adj．慷慨的，丰富的
bouquet   n．花束
bout   n.一回合，一阵
bovine   adj．（似）牛的，迟钝的
bower   n．凉亭，树荫下凉快之处
boycott   v．抵制（贸易）
brace   v．使稳固，架稳n．支撑物
brake   n．煞车v．减速，阻止
bravado   n．故作勇敢，逞能
brawl   v．n．争吵，打架
brawny   adj．（人）强壮的
brazen   adj．无耻的，厚脸皮的
breach   v．毁坏，泄密n．缺口
bridle   n．马笼头v．抑制，控制
brilliant   adj．辉煌的，才气焕发的
brim   n．（杯）边，缘v．盈满
brimful   adj充满的、盈满的
brink   n．（峭壁的）边沿，边缘
broach   v．开瓶，提出（题目）
bromide   n．溴化物（镇静药用），平庸的人或物
bronchitis   n．支气管炎
brood   n．一窝幼鸟v．孵蛋，闷想
brook   v．容忍，忍受
brook   n．小河
browse   v．n．吃嫩叶或草，浏览
brusque   adj．唐突的，鲁莽的
brute   n．野兽，兽性
brutal   adj．残忍的，严酷的
brutality   n．残酷，兽行
bubble   v．起泡n．气泡，水泡
buckle   n．皮带扣环v．扣紧
bucolic   adj．乡村的，牧羊的
budge   v．移动一点，妥协
bug   n．臭虫，窃听器
buggy   n．轻型马车，婴儿车
bulb   n．植物的球茎
bulge   v．n．膨胀，突出
bullion   n．金条，银条
bully   v．欺负，威协
bulwark   n．堡垒，保障
bumble   v．说话含糊
bumper   n．汽车前后的保险杆
buoy   n．浮标，救生圈，v．支持，鼓励
buoyancy   n．浮力
buoyant   adj．易浮的，快乐的．
bureaucracy   n．官僚政治
burgeon   v．迅速成长，发展
burlesque   n．讽刺或滑稽的戏剧
burnish   v．擦亮，磨光
burrow   n．（兔子等）所掘的地洞，v．挖洞
bust   n．半身（雕）像
buttress   n．扶墙，拱壁，v．支持
buxom   adj．体态丰满的
byline   n．（列作者名字的）报刊文章首行
bypass   v．规避，绕过
cacophony   n．刺耳的声音
cactus   n．仙人掌
cadaver   n．尸体
cadaverous   adj．像尸体的，（形容）枯槁的
cadet   n．军校或警官学校的学生
cajole   v．（以甜言蜜语）哄骗
calamity   n．大灾祸，不幸之事
calamitous   adj．造成灾祸的
calcify   v．使硬化，钙化
calcium   n．钙
calculating   adj．深谋远虑的，精明的。
calibre   n．（枪等）口径，（人或事）品质，才能
calibrate   v．量…口径，标准。
calligraphy   n．书法
callous   adj．结硬块的，无情的
callus   n．老茧，皮肤硬厚处。
callow   adj．（鸟）未生羽毛的，（人）未成熟的。
calumny   n．诽谤，中伤
